search_name,real_name,nickname,category,dates,place_of_birth,biography_link
Armando Laborde,"Dattoli, José Atilio", ,"Singer, lyricist and composer",(27 April 1922 - 12 December 1996),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/152/Armando-Laborde/
Armando Moreno,"Bassi, Armando",Nicknames: El Niño y Muñeco,Singer,(29 May 1921 - 8 October 1990),Place of birth:  Argentina,https://www.todotango.com/english/artists/biography/117/Armando-Moreno/
Blanca Bassi,, ,Singer,(n/d - ),Place of birth: , 
Blanca Mooney,"Nester Mooney, Blanca", ,Singer,(18 January 1940 - 9 May 1991),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/764/Blanca-Mooney/
Carlos Acuna,"Di Loreto, Carlos Ernesto", ,Singer and composer,(4 November 1915 - 19 February 1999),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/869/Carlos-Acuna/
Carlos Aguirre,"Goldfinger, José Roberto", ,Singer,(19 May 1938 - 1 May 2018),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1202/Carlos-Aguirre/
Carlos Almada,"Almada, Carlos", ,Singer,(26 March 1918 - 9 July 1982),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/973/Carlos-Almada/
Carlos Almagro,"Cámera, Santiago", ,Singer,(29 June 1929 - n/d),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1448/Carlos-Almagro/
Carlos Barbe,, ,Singer,(n/d - ),Place of birth: , 
Carlos Barrios,"García, Juan Carlos", ,Singer,(11 October 1924 - n/d),Place of birth: Ramallo (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1209/Carlos-Barrios/
Carlos Bermudez,"Bermúdez, Alberto",Nicknames: Alberto Bermúdez,Singer,(7 June 1918 - 23 July 1993),Place of birth: Caseros (Buenos Aires) Argentina, 
Carlos Bernal,, ,Singer,(n/d - ),Place of birth: , 
Carlos Boledi,"Boledi, Carlos Ramón", ,Singer,(20 June 1950 - ),Place of birth: Rosario (Santa Fe) Argentina, 
Carlos Casares,, ,Singer,(n/d - n/d),Place of birth: , 
