Date,Orquestra,Title,Singer,Style,Composer,Author
1946-07-11,Dir. Enrique Alessio,Esta noche me emborracho,Alberto CASTILLO,TANGO,Enrique Santos Discepolo,Enrique Santos Discepolo
1946-08-29,Dir. Enrique Alessio,Ahora tengo un amor,Alberto CASTILLO,VALS,Rodolfo Sciammarella,Rodolfo Sciammarella
1946-10-25,Dir. Enrique Alessio,Chinita,Alberto CASTILLO,TANGO,Eleuterio Iribarren,Enrique Carrera Sotelo
1946-10-25,Dir. Enrique Alessio,Idilio trunco,Alberto CASTILLO,VALS,Nicolás Blois,Ángel Marino
1946-10-25,Dir. Enrique Alessio,Se lustra señor,Alberto CASTILLO,TANGO,Enrique Alessio y Eduardo Del Piano,Marvil
1946-10-25,Dir. Enrique Alessio,Unitaria,Alberto CASTILLO,VALS,Enrique Maciel,Arsenio Mármol
1947-03-13,Dir. Enrique Alessio,Fea,Alberto CASTILLO,TANGO,Horacio Pettorossi,Alfredo Navarrine
1947-03-13,Dir. Enrique Alessio,Yo también carrero fui,Alberto CASTILLO,TANGO,Héctor Marcó,Héctor Marcó
1947-04-11,Dir. Enrique Alessio,Adiós pampa mía,Alberto CASTILLO,TANGO,Francisco Canaro y Mariano Mores,Ivo Pelay
1947-04-11,Dir. Enrique Alessio,Baile de los morenos,Alberto CASTILLO,MILONGA, , 
1947-06-18,Dir. Enrique Alessio,Cosas de antaño,Alberto CASTILLO,TANGO, , 
1947-06-18,Dir. Enrique Alessio,El aguatero porteño,Alberto CASTILLO,MILONGA, , 
1947-06-18,Dir. Enrique Alessio,Viento en contra,Alberto CASTILLO,TANGO, , 
1947-08-29,Dir. Enrique Alessio,Me gusta un tango asi,Alberto CASTILLO,TANGO,Víctor Braña,Enrique Gaudino
1947-08-29,Dir. Enrique Alessio,Tu pálido final,Alberto CASTILLO,TANGO,Vicente Demarco,Alfredo Faustino Roldán
1948-01-08,Dir. Enrique Alessio,La cancion de Buenos Aires,Alberto CASTILLO,TANGO,Orestes Cúfaro y Azucena Maizani,Manuel Romero
1948-01-08,Dir. Enrique Alessio,Ninguna,Alberto CASTILLO,TANGO,Raúl Fernández Siro,Homero Manzi
1948-05-12,Dir. Enrique Alessio,Violetas,Alberto CASTILLO,VALS,Juan Maglio,Francisco Brancatti
1949-04-22,Dir. Angel Condercuri,El huérfano (2),Alberto CASTILLO,VALS,José María Castro y César de Pardo,José María Castro
1949-04-22,Dir. Angel Condercuri,Un tropezón,Alberto CASTILLO,TANGO,Raúl De los Hoyos,Luis Bayón Herrera
1949-04-28,Dir. Angel Condercuri,Dónde estás corazón,Alberto CASTILLO,TANGO,Luis Martínez Serrano y Augusto Berto,Luis Martínez Serrano
1949-04-28,Dir. Angel Condercuri,Estas chicas se quieren casar,Alberto CASTILLO,VALS, , 
1949-04-28,Dir. Angel Condercuri,Mi cine de barrio,Alberto CASTILLO,TANGO, , 
1949-05-06,Dir. Angel Condercuri,Con permiso soy el tango,Alberto CASTILLO,TANGO,Cristóbal Herreros y Ricardo Raúl Garavano,Cristóbal Herreros y Ricardo Raúl Garavano
1949-07-14,Dir. Angel Condercuri,Pobre mi madre querida,Alberto CASTILLO,VALS,José Betinotti,José Betinotti
1950-01-25,Dir. Enrique Alessio,El cachivachero,Alberto CASTILLO,CANDOMBE, , 
1950-01-25,Dir. Angel Condercuri,Ha pasado,Alberto CASTILLO,VALS, , 
1951-05-11,Dir. Angel Condercuri,Estrellita del sur,Alberto CASTILLO,VALS,Felipe Coronel Rueda,Felipe Coronel Rueda
1951-05-11,Dir. Angel Condercuri,Garufa,Alberto CASTILLO,TANGO,Juan Antonio Collazo,Víctor Soliño y Roberto Fontaina
1951-05-11,Dir. Angel Condercuri,Margot,Alberto CASTILLO,TANGO,José Ricardo y Carlos Gardel,Celedonio Flores
1951-06-15,Dir. Angel Condercuri,Canchero,Alberto CASTILLO,TANGO,Arturo De Bassi,Celedonio Flores
1951-06-15,Dir. Angel Condercuri,De mi barrio,Alberto CASTILLO,TANGO,Roberto Goyheneche,Roberto Goyheneche
1951-06-15,Dir. Angel Condercuri,La vieja serenata,Alberto CASTILLO,VALS,Teófilo Ibáñez,Sandalio Gómez
1951-07-23,Dir. Enrique Alessio,Candombero,Alberto CASTILLO,MILONGA, , 
1951-07-23,Dir. Angel Condercuri,Muñeca brava,Alberto CASTILLO,TANGO,Luis Visca,Enrique Cadícamo
1953-03-05,Dir. Jorge Dragone,A media luz,Alberto CASTILLO,TANGO,Edgardo Donato,Carlos Lenzi
1953-03-05,Dir. Angel Condercuri,Amigos y mujeres,Alberto CASTILLO,VALS, , 
1953-03-05,Dir. Jorge Dragone,Estampa del 800,Alberto CASTILLO,CANDOMBE,Romeo Gavioli y Carmelo Imperio,Gerónimo Yorio
1953-03-05,Dir. Jorge Dragone,Inocencia,Alberto CASTILLO,TANGO,Mercedes Simone,Mercedes Simone
1953-07-01,Dir. Jorge Dragone,Che Bartolo,Alberto CASTILLO,TANGO,Rodolfo Sciammarella,Enrique Cadícamo
1953-07-01,Dir. Jorge Dragone,El choclo (2),Alberto CASTILLO,TANGO,Angel Villoldo,Enrique Santos Discepolo y Juan Carlos Marambio Catan
